# temperatuur abs_magnitude klasse afstand
4303.0 -5.44 I 1208.6
4311.0 0.42 III 216.9
4314.0 0.09 III 480.2
4324.0 -5.49 I 1200.3
4462.0 0.76 III 1527.4
4524.0 6.37 V 475.9
4539.0 -6.4 I 1075.8
4550.0 5.79 V 1864.4
4564.0 -5.79 I 1835.6
4637.0 -4.91 I 328.5
4713.0 0.26 III 1420.1
4720.0 -5.41 I 535.7
4765.0 -5.86 I 1652.8
4770.0 0.76 III 734.1
4862.0 0.11 III 1768.8
4870.0 1.33 III 1151.3
4890.0 4.79 V 1741.8
4890.0 6.71 V 1478.7
5022.0 3.48 V 1610.8
5033.0 -6.23 I 852.9
5074.0 -0.92 III 1069.1
5107.0 1.43 III 307.7
5150.0 5.58 V 1919.8
5167.0 -5.88 I 377.1
5215.0 -0.54 III 145.3
5246.0 -6.19 I 1539.6
5276.0 6.55 V 1199.0
5315.0 -5.53 I 543.8
5368.0 6.21 V 1851.8
5413.0 4.07 V 1270.1
5448.0 1.13 III 1602.6
5465.0 3.99 V 825.9
5480.0 5.62 V 345.8
5521.0 4.37 V 923.0
5551.0 -0.16 III 805.7
5560.0 -5.61 I 1537.6
5582.0 -5.95 I 382.5
5770.0 4.09 V 823.5
5878.0 5.97 V 40.9
5918.0 -6.41 I 1717.6
5948.0 5.71 V 210.3
5985.0 3.94 V 440.9
6065.0 5.87 V 1101.7
6111.0 5.06 V 880.7
6122.0 -5.36 I 287.0
6153.0 -6.28 I 1164.4
6204.0 -5.56 I 504.2
6373.0 4.14 V 885.4
6396.0 -6.27 I 1903.3
6423.0 -6.04 I 756.4
6565.0 3.64 V 414.4
6565.0 -5.94 I 436.1
6604.0 3.99 V 1509.2
6637.0 -4.76 I 681.2
6684.0 -5.65 I 877.6
6884.0 4.36 V 436.5
7061.0 -5.67 I 1455.4
7066.0 4.23 V 1975.4
7217.0 -5.6 I 1512.0
7363.0 3.93 V 693.9
7378.0 3.47 V 930.5
7393.0 2.68 V 47.3
7546.0 2.89 V 1268.9
7795.0 1.45 V 498.5
7915.0 3.07 V 1258.2
7917.0 2.67 V 424.1
7995.0 -5.74 I 1307.6
8024.0 2.45 V 504.1
8270.0 -6.23 I 1162.5
8296.0 1.82 V 105.1
8421.0 -5.56 I 957.2
8570.0 -5.1 I 851.7
8572.0 -6.47 I 1036.7
8625.0 1.39 V 843.4
8730.0 1.24 V 463.4
8810.0 -6.11 I 1177.7
8810.0 -5.72 I 1004.8
8827.0 1.71 V 618.8
8831.0 2.29 V 51.2
8915.0 2.24 V 1791.9
9021.0 0.27 V 1869.9
9156.0 -7.07 I 1160.6
9273.0 -6.79 I 1904.9
9362.0 -5.52 I 1628.2
9492.0 2.03 V 896.6
9754.0 2.63 V 1429.9
9776.0 -7.18 I 644.4
10024.0 -5.63 I 1753.2
10263.0 -5.1 I 1682.9
10306.0 -6.25 I 427.0
10648.0 -6.2 I 1039.3
10729.0 -6.6 I 1910.6
10802.0 -7.45 I 1661.9
10839.0 1.39 V 855.9
10877.0 -0.23 V 1861.6
11241.0 1.3 V 1916.2
11439.0 -0.21 V 361.5
11583.0 -6.66 I 1230.2
11858.0 -6.81 I 845.2
11872.0 0.27 V 1386.9
12444.0 -0.2 V 1539.2
12583.0 -6.85 I 554.8
14054.0 -6.55 I 902.2
14614.0 -0.86 V 1996.6
14696.0 -0.8 V 448.7
14928.0 -1.14 V 918.8
15294.0 -2.5 V 502.4
16804.0 -1.63 V 1487.1
17578.0 -1.75 V 65.2
18741.0 -2.8 V 828.0
19830.0 -6.67 I 1675.6
21858.0 -6.31 I 1383.1
22666.0 -4.06 V 299.2
23396.0 -4.85 V 1631.5
25458.0 -5.82 V 837.1
32654.0 -8.64 V 1220.6
